session_id,primary_content_type,preferred_categories,negative_content_minutes,algorithm_interactions,search_vs_feed_ratio
0,video,"entertainment,news",1.1450190127551871,7,0.2622519119434266
1,text,"sports,news",16.180915476074038,7,0.014954148542288864
2,reel,"lifestyle,news",5.080200329606144,9,0.01320176887334042
3,reel,"news,wellness",8.440895249457947,9,0.04944198175238312
4,story,"politics,wellness",2.362051336449284,10,0.07227320539397715
5,story,"sports,politics",1.1355064718702774,11,0.018016857057905542
6,text,"wellness,politics",4.278616854013233,7,0.030810277422055245
7,reel,"entertainment,news",1.8803116692296995,6,0.37382148402827364
8,video,"sports,politics",8.53005607630796,11,0.388155516800264
9,story,"entertainment,politics",3.054356540430266,12,0.29372517293651274
10,photo,"news,entertainment",9.114942360868131,6,0.37919908995960766
11,text,"sports,news",2.2206544509742905,8,0.375351017471152
12,video,"lifestyle,wellness",1.1144078589948994,13,0.20013765814066092
13,text,"politics,entertainment",10.09087054714998,5,0.2897833301424945
14,photo,"politics,wellness",9.28643726165718,10,0.49659135995016207
15,text,"sports,entertainment",2.216876785239068,4,0.08598759466600038
16,reel,"politics,sports",2.4618036109757906,8,0.020124451196122432
17,story,"lifestyle,wellness",5.503530561980402,11,0.05359711982797337
18,text,"entertainment,lifestyle",1.4168093726805908,7,0.10100474640516144
19,reel,"lifestyle,sports",0.0019141093797383018,7,0.26816535198589914
20,video,"news,politics",4.183619954271586,14,0.20778399275957218
21,text,"news,wellness",2.4384736037694936,10,0.3927591170220309
22,video,"news,politics",2.6200348109812714,9,0.11918450255232059
23,story,"wellness,politics",0.32426119373698803,9,0.3797104709190108
24,story,"sports,news",0.5235841285160403,3,0.154225640916794
25,story,"lifestyle,politics",2.6256404127895685,7,0.14421120579793703
26,reel,"news,entertainment",5.894824231656466,11,0.06932647717742832
27,reel,"lifestyle,politics",4.446605434618415,4,0.0941325103147083
28,reel,"politics,wellness",2.704884435188042,5,0.13710570945005957
29,reel,"lifestyle,wellness",13.501776935790675,14,0.3889959136698796
30,photo,"wellness,entertainment",6.709456352648452,6,0.1954048548015185
31,video,"wellness,politics",4.532363892248423,5,0.013183026403549817
32,story,"wellness,news",5.907084102782374,10,0.1623599195489535
33,text,"sports,wellness",1.1881942243525763,7,0.3396879461297242
34,reel,"sports,wellness",0.10329138022091533,10,0.09005735785426972
35,photo,"entertainment,wellness",2.5668138161813014,10,0.11574266972297198
36,photo,"entertainment,lifestyle",1.7112813578960053,7,0.02490896649851788
37,reel,"wellness,politics",7.976014976947398,5,0.22507799858310124
38,text,"news,wellness",21.516250216666208,7,0.11905987599352964
39,reel,"news,sports",3.0302880616522847,11,0.2448437909819025
40,photo,"sports,entertainment",32.3439286530964,4,0.4048695209143994
41,reel,"politics,news",6.957801264200497,9,0.3936673835389565
42,text,"entertainment,news",23.457956033912893,13,0.15214174818979606
43,reel,"lifestyle,news",4.535340677843506,5,0.16829898935081125
44,photo,"wellness,sports",2.319787678676326,11,0.11957669681018224
45,reel,"wellness,politics",1.8803902523687241,7,0.2894111663547205
46,story,"wellness,sports",5.279147767265945,5,0.5003854718720053
47,reel,"wellness,politics",9.34624178163191,6,0.05743362826958738
48,story,"wellness,politics",2.004285812912714,4,0.2309710329524901
49,story,"lifestyle,entertainment",0.3559762386882118,10,0.27395600462027153
50,text,"politics,lifestyle",5.831851403309632,9,0.012500815553684708
51,story,"wellness,lifestyle",6.88687348530153,6,0.3112237398110805
52,story,"sports,lifestyle",8.529345414981655,10,0.14857361762615623
53,video,"entertainment,sports",3.9257012278689976,9,0.10620094825054299
54,reel,"wellness,politics",14.306837465985435,11,0.09120505477598312
55,photo,"entertainment,sports",6.98757552605527,8,0.10257752265105932
56,story,"wellness,sports",4.925316152743104,6,0.2882063022533488
