day,planned_usage_minutes,actual_usage_minutes,usage_overage_minutes,late_night_usage_minutes,compulsive_checks_count,sleep_hours,baseline_compulsiveness
0,82.04370803277058,65.29143559027163,0.0,0.0,6,7.093055051684836,0.2991439010592252
1,100.19171101822688,122.29723289193312,22.105521873706238,0.0,4,7.093055051684836,0.2991439010592252
2,60.92717668986608,53.77496386061036,0.0,9.39182409111189,8,7.0147898509255695,0.2991439010592252
3,57.09032910684327,69.53704794058783,12.446718833744555,0.0,4,7.093055051684836,0.2991439010592252
4,77.66900632724122,113.83440107602343,36.165394748782205,23.63754046848127,6,6.896075547780825,0.2991439010592252
5,57.59465101735885,96.83673337236577,39.24208235500692,0.0,8,7.093055051684836,0.2991439010592252
6,43.64911037044941,14.179261680600256,0.0,0.0,8,7.093055051684836,0.2991439010592252
7,86.60818596128286,193.7536884616145,107.14550250033165,0.0,4,7.093055051684836,0.2991439010592252
8,119.08103986164762,138.53160829750487,19.45056843585725,0.0,3,7.093055051684836,0.2991439010592252
9,112.24061287959195,184.9859961105747,72.74538323098274,0.0,5,7.093055051684836,0.2991439010592252
10,72.42343953344854,57.479308053538986,0.0,25.318319290247945,4,6.882069057599436,0.2991439010592252
11,101.88735465175223,234.5008602899261,132.61350563817388,2.506086745805746,7,7.072170995469787,0.2991439010592252
12,104.93534520483726,67.93461153638297,0.0,0.0,6,7.093055051684836,0.2991439010592252
13,52.75804824752484,58.91678796958001,6.1587397220551665,16.1350832280512,8,6.958596024784409,0.2991439010592252
14,63.806300456141194,112.67564875132807,48.869348295186875,0.0,2,7.093055051684836,0.2991439010592252
15,60.56884041554504,50.28100879396203,0.0,0.0,9,7.093055051684836,0.2991439010592252
16,47.561541451918956,66.38469682885601,18.823155376937052,0.0,6,7.093055051684836,0.2991439010592252
17,116.3428339170721,58.116583891247224,0.0,0.0,5,7.093055051684836,0.2991439010592252
18,102.44268586736027,103.1579508351507,0.7152649677904321,0.0,5,7.093055051684836,0.2991439010592252
19,105.3484727347199,193.85455427142665,88.50608153670674,0.0,6,7.093055051684836,0.2991439010592252
20,83.95004866758718,100.05649665283161,16.10644798524443,0.0,7,7.093055051684836,0.2991439010592252
21,60.068096104850255,80.40870903816922,20.340612933318965,45.96250269268637,6,6.710034195912449,0.2991439010592252
22,56.16317311227683,40.38647596671914,0.0,0.0,6,7.093055051684836,0.2991439010592252
23,81.90402294255443,101.45503166759138,19.55100872503695,0.0,8,7.093055051684836,0.2991439010592252
24,73.0539556802202,100.8335459223144,27.7795902420942,0.0,5,7.093055051684836,0.2991439010592252
25,104.49729887290604,139.26178382742265,34.764484954516604,0.0,2,7.093055051684836,0.2991439010592252
26,89.97592034881471,36.259778482686976,0.0,24.638402758553315,3,6.887735028696891,0.2991439010592252
27,100.08580558081647,85.81171343926549,0.0,0.0,4,7.093055051684836,0.2991439010592252
28,113.20731142001122,107.01642499322837,0.0,0.0,4,7.093055051684836,0.2991439010592252
29,103.76055003980986,92.69891082893089,0.0,15.11012361568693,8,6.967137354887445,0.2991439010592252
