session_id,day,session_start_hour,session_duration_minutes,time_since_last_session_hours,is_weekend,user_type,scroll_velocity_posts_per_min,scroll_depth_percentage,interaction_rate_percentage,time_per_post_seconds,return_to_feed_frequency,primary_content_type,preferred_categories,negative_content_minutes,algorithm_interactions,search_vs_feed_ratio,notification_response_minutes,opening_trigger,background_usage_score,exit_behavior,planned_usage_minutes,actual_usage_minutes,usage_overage_minutes,late_night_usage_minutes,compulsive_checks_count,sleep_hours,baseline_compulsiveness
0,0,2.4364682275959364,7.2601953263499155,1.1769200658421481,False,casual,6.4019241788079375,30.450953795298087,5.315194566425139,22.90779969537199,0,story,"lifestyle,entertainment",2.975657480248157,10,0.05236984156726088,4.759199995299332,habit,0.4279716900558404,intentional,66.63708679812463,166.138861673277,99.50177487515238,23.879303299148077,7,8.637620094140425,0.21290529962796736
1,0,4.76218425797523,1.3647021884825956,0.7140814096858433,False,moderate,5.203715808053328,56.58852886191438,4.218640961839823,8.0975547250691,3,video,"news,lifestyle",13.705903211560306,7,0.03978080854565524,32.97463860959143,boredom,0.45079982863826923,distracted,66.63708679812463,166.138861673277,99.50177487515238,23.879303299148077,7,8.637620094140425,0.21290529962796736
2,0,5.177017082921737,2.4930021347798013,8.301342309288922,False,casual,9.062617366281554,50.36567337846052,1.9914268815114147,1.0,3,reel,"sports,news",6.324922252816006,9,0.04532744947826931,0.9073203423158586,notification,0.1105442527974357,intentional,66.63708679812463,166.138861673277,99.50177487515238,23.879303299148077,7,8.637620094140425,0.21290529962796736
3,1,6.512598535602057,8.009686946586342,6.532009289331796,False,casual,3.6298059303244754,18.86202809953157,2.2578765027037146,4.615034942796194,5,text,"entertainment,sports",14.388686553835493,7,0.3652829986310489,6.354003410858781,news_check,0.4463610536523804,intentional,42.27425771497619,39.262459673872776,0.0,0.0,4,8.836614288299993,0.21290529962796736
4,1,23.007668774728508,7.353143172855555,1.2509632551332177,False,moderate,18.687144064729956,14.392372628135725,8.52187336026621,4.4460599410405806,4,reel,"wellness,sports",10.162754251464847,14,0.32613646739284047,9.954277054426706,boredom,0.08571135455248338,distracted,42.27425771497619,39.262459673872776,0.0,0.0,4,8.836614288299993,0.21290529962796736
5,1,9.855454029926328,17.194386319494015,2.2687537562283184,False,casual,2.192088275943724,12.241878908580087,4.341818463066167,6.217983945734611,4,reel,"news,wellness",2.7883217848968793,10,0.3296676233443374,6.386985341052895,boredom,0.12199634301774322,intentional,42.27425771497619,39.262459673872776,0.0,0.0,4,8.836614288299993,0.21290529962796736
6,2,21.114001060607844,23.29618446064955,3.0511965436037136,False,casual,1.1458480759023575,47.0768849160591,7.2814458360506045,3.773040338563742,3,photo,"news,lifestyle",1.2408116848369335,6,0.11343671492004102,26.350093958834453,news_check,0.3253225993942941,distracted,98.23026789807881,90.53212548276574,0.0,0.0,3,8.836614288299993,0.21290529962796736
7,2,16.295146056954486,14.843505787943977,2.0663468811737924,False,moderate,15.287496540681389,56.242395650008916,4.525161897268382,12.466669226297583,4,text,"sports,news",1.9410586726269352,9,0.02722784362261947,0.24133076702637904,boredom,0.18003675530867513,distracted,98.23026789807881,90.53212548276574,0.0,0.0,3,8.836614288299993,0.21290529962796736
8,2,17.03222562056743,24.185923079705972,1.411381379136259,False,moderate,7.757650628366348,44.186336810673104,9.541936162372286,3.1641513877287695,3,reel,"politics,lifestyle",0.13129549187426084,9,0.027547928462569173,27.83372926120461,notification,0.21249187789465454,intentional,98.23026789807881,90.53212548276574,0.0,0.0,3,8.836614288299993,0.21290529962796736
9,3,1.8263152577106503,18.324731778657686,2.324984402392384,False,heavy,27.19886736912218,24.78146050631246,3.5196773540875226,8.655599869088794,8,reel,"news,entertainment",8.002051333157826,16,0.3945782785169488,0.19708560023421032,notification,0.2944731208053533,intentional,77.07897375885773,121.29377119609111,44.214797437233386,12.857026961374757,5,8.729472396955202,0.21290529962796736
