session_id,user_type,scroll_velocity_posts_per_min,scroll_depth_percentage,interaction_rate_percentage,time_per_post_seconds,return_to_feed_frequency
0,casual,8.068675587775756,17.966624960513442,1.1524726522556576,18.294288143033548,3
1,moderate,6.604633006287655,60.376653592410904,8.21743697154023,7.741648604433169,5
2,moderate,6.9876362906289025,62.77214994378719,3.798353287865559,10.018841049308634,5
3,moderate,4.114897157260419,68.37614315328963,4.0071525133808885,3.7058936299795966,8
4,moderate,3.7813216554545335,2.674044940709316,2.71955697582472,4.722821293960984,2
5,casual,0.5469159752572877,30.45633044339705,3.6743261314890985,6.620400023663627,5
6,moderate,5.668770405815031,25.118708460518462,5.603546917526848,5.112877796186008,4
7,casual,0.6694865507546448,74.25969668462193,2.260524489654042,10.604427041818068,7
8,moderate,21.195397339252505,24.042959561879126,6.935967642177248,8.744668323448703,3
9,casual,2.242142890564604,82.38993194528558,4.766348447242042,18.555969174347457,1
10,casual,2.3659759920203562,45.67737003593841,1.4519258212071453,2.8828908706930956,4
11,heavy,16.88052348496366,33.196068411099894,0.6211805058948149,6.672046118341141,3
12,casual,2.96996003479084,22.048468531862653,12.744140544742582,5.8099908594592256,2
13,moderate,12.979592513242158,20.21633124999762,2.7484871804088473,13.717992388905433,4
14,casual,1.376973110345854,16.469637991531908,0.7708685342238557,6.972944523795967,4
15,moderate,6.259724595278996,74.45271888074187,7.436636809140604,1.0,4
16,casual,5.068196005434706,58.92353808768146,11.452094805530981,2.64137777070117,3
17,moderate,25.5184747628344,19.222647244322904,1.8776708008660727,8.295490458626473,3
18,heavy,28.628885409826268,31.909401041328277,1.3344054983280267,10.203111142746256,3
19,moderate,2.366435441741389,24.354819742541814,2.769172816058668,8.572991873501561,3
20,casual,2.375061596609209,38.260733032925124,7.58166117923052,4.8191503919020615,2
21,casual,3.532029698284706,37.82674417478576,2.704342842286608,4.207714075065109,2
22,moderate,1.4780522775733203,33.43898984375373,0.8312917358044153,2.544719462769844,2
23,casual,3.014521395096735,49.209171182316744,4.44202731827926,4.793231244965423,2
24,casual,1.8403462999321951,63.757243185884924,0.9056241729936543,14.534558669133816,5
25,casual,5.314830074112718,13.855800442666578,4.2907368544652735,3.3222748750493545,5
26,heavy,24.686757657219406,8.713352192243637,2.6930402535935807,1.4238337952662177,2
27,casual,1.5192870716094111,30.32551265529892,3.849150989354358,3.390480543456634,4
28,moderate,8.230442495709081,31.748139755634163,0.30302420504777816,4.684501297228666,5
29,moderate,4.2042628260814325,36.95340433697417,6.6752419190981795,3.6951019377098855,1
30,casual,5.761653186621123,19.52556976078276,4.045215121088118,14.728064738191744,6
31,moderate,16.719798511086513,25.074528554241425,3.79348207456962,3.593877838081423,3
32,casual,4.414932547411866,56.96431291333579,1.6773994602162345,7.63326942401071,4
33,casual,6.149880718800049,31.430553122647375,2.768234284103462,4.623443248718404,1
34,moderate,7.320295491330286,52.01139308355418,2.5453642793881954,3.631719177811736,3
35,moderate,8.669983200798063,27.55481750192449,6.730159364793331,1.2506077346915596,3
36,heavy,19.885563314253538,14.532643091879955,4.392608767467998,4.526550674175469,1
37,heavy,21.10402891200075,39.47179529610973,0.706513680498363,3.1049362671664165,4
38,moderate,15.939695960542851,50.08400525034713,4.611651780910125,8.940446345160613,6
39,moderate,3.205807872335961,11.346277104609106,1.7139475497034553,6.172794498743562,4
40,moderate,13.685399460764522,34.80395351280359,3.51901681243782,3.485930399288465,4
41,casual,11.553082412936407,16.45355195397213,6.393804870730392,7.217510191435782,1
42,heavy,9.724715080400108,19.94064156888867,3.183491099787121,6.151785292197954,6
